DroidPersianCalendar,Copyright (C) 2012-2016 ebrahim@gnu.org,https://github.com/ebraminio/DroidPersianCalendar,License: GNU General Public License,https://www.gnu.org/licenses/gpl.txt
Android-Coverflow,Copyright (C) 2015 Hugo Yu,https://github.com/crosswall/Android-Coverflow,License: MIT License, https://opensource.org/licenses/MIT
EazeGraph,Copyright (C) 2015 Paul Cech,https://github.com/blackfizz/EazeGraph,License: Apache 2.0,https://www.apache.org/licenses/LICENSE-2.0
MaterialShowCaseView,Copyright (C) 2015 Dean Wild,https://github.com/deano2390/MaterialShowcaseView,License: Apache 2.0,https://www.apache.org/licenses/LICENSE-2.0
OpenCSV,Copyright (C) 2016,https://mvnrepository.com/artifact/net.sf.opencsv/opencsv,License: Apache 2.0,https://www.apache.org/licenses/LICENSE-2.0
Calligraphy,Copyright (C) 2013 Christopher Jenkins,https://github.com/chrisjenx/Calligraphy,License: Apache 2.0,https://www.apache.org/licenses/LICENSE-2.0
Dagger2,Copyright (C) 2012 The Dagger Authors,https://google.github.io/dagger/,License: Apache 2.0,https://www.apache.org/licenses/LICENSE-2.0
SmartTabLayout,Copyright (C) 2015 ogaclejapan,https://github.com/ogaclejapan/SmartTabLayout,License: Apache 2.0,https://www.apache.org/licenses/LICENSE-2.0
EventBus,Copyright (C) 2012-2016 Markus Junginger and greenrobot (http://greenrobot.org),https://github.com/greenrobot/EventBus,License: Apache 2.0,https://www.apache.org/licenses/LICENSE-2.0
NineOldAndroids,Copyright (C) 2012 Jake Wharton,https://github.com/JakeWharton/NineOldAndroids,License: Apache 2.0,https://www.apache.org/licenses/LICENSE-2.0
